Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,,PIG-5253,13077979,,Pig Hadoop 3 support,szita,nkollar,Blocker,Resolved,Fixed,07/Jun/17 12:45,12/Aug/22 22:33,
Bug,,PIG-3544,12675386,,Pig fails to query Apache Cassandra 2.x,,claudio.romo.otto,Blocker,Resolved,Not A Problem,24/Oct/13 05:39,11/Aug/22 04:28,
Bug,,PIG-5404,13325971,,FLATTEN infers wrong datatype,knoguchi,bpusztahazi,Blocker,Resolved,Fixed,03/Sep/20 18:56,15/Oct/20 15:18,
Bug,Patch Available,PIG-5362,13189530,,Parameter substitution of shell cmd results doesn't handle backslash	,wlauer@yahoo-inc.com,wlauer@yahoo-inc.com,Blocker,Resolved,Fixed,04/Oct/18 18:55,23/Apr/20 11:34,
Bug,,PIG-5367,13193611,,Build error: impossible to resolve dependencies,,functicons,Blocker,Open,,23/Oct/18 16:26,23/Oct/18 16:27,
Sub-task,,PIG-4711,12907335,12727944,Tests in TestCombiner fail due to missing leveldb dependency,pallavi.rao,pallavi.rao,Blocker,Closed,Fixed,23/Oct/15 08:56,21/Jun/17 09:18,
Bug,,PIG-4617,12841812,,XML loader is not working fine with pig 0.14 version,rohini,vijayakarasani@gmail.com,Blocker,Open,,30/Jun/15 21:41,24/May/17 23:03,02/Jul/15 00:00
Bug,,PIG-4592,12836028,,Pig 0.15 stopped working with Hadoop 1.x,daijy,costin.leau,Blocker,Resolved,Fixed,07/Jun/15 20:00,17/Jun/15 17:15,
Bug,,PIG-4513,12823026,,Lines dropped in delimited text when they begin with null/no-data,,madhan.sundararajan@tcs.com,Blocker,Resolved,Not A Problem,22/Apr/15 13:44,11/May/15 09:28,
Bug,,PIG-3905,12709375,,0.12.1 release can't be build for Hadoop2,daijy,cos,Blocker,Closed,Fixed,18/Apr/14 23:41,07/Jul/14 18:08,
Bug,Patch Available,PIG-3664,12688653,,Piggy Bank XPath UDF can't be called,nezihyigitbasi,nezihyigitbasi,Blocker,Closed,Fixed,14/Jan/14 01:09,07/Jul/14 18:08,
Bug,,PIG-3559,12677231,,Trunk is broken by PIG-3522,cheolsoo,cheolsoo,Blocker,Closed,Fixed,02/Nov/13 16:02,07/Jul/14 18:07,
Bug,,PIG-3729,12691560,,Need to rebuild pig 0.12.0 jar from mvnrepository.com to resove error in hadoop 2.2 0 ,,nigeljvm,Blocker,Resolved,Not A Problem,28/Jan/14 05:12,31/Jan/14 20:26,
Task,,PIG-3128,12628764,,Document the BigInteger and BigDecimal data type,daijy,jcoveney,Blocker,Closed,Fixed,22/Jan/13 18:47,14/Oct/13 16:46,
Task,,PIG-3131,12628812,,Document PluckTuple UDF,russell.jurney,jcoveney,Blocker,Closed,Fixed,22/Jan/13 22:49,14/Oct/13 16:46,
Task,,PIG-3129,12628807,,Document syntax to refer to previous relation,russell.jurney,jcoveney,Blocker,Closed,Fixed,22/Jan/13 22:31,14/Oct/13 16:45,
Bug,,PIG-3418,12663166,,"; in constant breaks parsing",,serega_sheypak,Blocker,Resolved,Duplicate,12/Aug/13 08:34,14/Aug/13 21:31,
Bug,,PIG-3330,12648232,,please fix the change that created a dependency on org.apache.pig.impl.PigImplConstants,billgraham,jadler,Blocker,Resolved,Fixed,17/May/13 19:13,17/May/13 21:26,
Bug,,PIG-2791,12597844,,Pig does not work with ViewFileSystem,rohini,patwhitey2007,Blocker,Resolved,Fixed,06/Jul/12 22:29,02/May/13 02:29,
Bug,,PIG-3241,12635859,,ConcurrentModificationException in POPartialAgg,dvryaboy,lohit,Blocker,Closed,Fixed,07/Mar/13 18:35,02/Apr/13 15:54,
Bug,,PIG-2527,12542213,,ILLUSTRATE fails for relations LOADed with the AvroStorage UDF,jcoveney,russell.jurney,Blocker,Closed,Fixed,11/Feb/12 02:16,18/Mar/13 22:51,
Sub-task,,PIG-2975,12611906,12611880,TestTypedMap.testOrderBy failing with incorrect result ,knoguchi,knoguchi,Blocker,Closed,Fixed,15/Oct/12 20:59,22/Feb/13 04:54,
Bug,,PIG-3147,12629759,,"Spill failing with ""java.lang.RuntimeException: InternalCachedBag.spill() should not be called""",knoguchi,knoguchi,Blocker,Closed,Fixed,29/Jan/13 19:34,22/Feb/13 04:54,
Bug,,PIG-2930,12608951,,ant test doesn't compile in trunk,cheolsoo,cheolsoo,Blocker,Closed,Fixed,25/Sep/12 00:42,22/Feb/13 04:53,
Task,,PIG-3109,12625443,,Missing license headers ,jarcec,ashutoshc,Blocker,Closed,Fixed,28/Dec/12 20:15,22/Feb/13 04:53,
Bug,,PIG-2936,12609454,,Tuple serialization bug,jcoveney,jcoveney,Blocker,Closed,Fixed,27/Sep/12 21:10,22/Feb/13 04:53,
Bug,,PIG-2792,12597858,,Wonderdog stopped working in Pig 0.10.0 (worked in 0.9.2),,russell.jurney,Blocker,Closed,Fixed,07/Jul/12 00:06,06/Jan/13 23:57,
Bug,,PIG-2539,12542949,,Cannot use s3 buckets with '_' in the name,daijy,russell.jurney,Blocker,Open,,16/Feb/12 22:06,19/Dec/12 16:34,
Bug,,PIG-2509,12541513,,Util.getSchemaFromString fails with java.lang.NullPointerException when a tuple in a bag has no name (as when used in MongoStorage UDF),jcoveney,russell.jurney,Blocker,Closed,Fixed,06/Feb/12 21:56,25/Jul/12 04:04,
