Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,PIG-1638,12474761,,sh output gets mixed up with the grunt prompt,nrai,nrai,Minor,Closed,Fixed,21/Sep/10 22:13,17/Dec/10 22:45,
Bug,,PIG-1635,12474709,,"Logical simplifier does not simplify away constants under AND and OR; after simplificaion the ordering of operands of AND and OR may get changed",yanz,yanz,Minor,Closed,Fixed,21/Sep/10 15:35,17/Dec/10 22:45,
Bug,,PIG-1602,12473359,,The .classpath of eclipse template still use hbase-0.20.0,zjffdu,zjffdu,Minor,Closed,Fixed,06/Sep/10 02:53,17/Dec/10 22:45,
Bug,,PIG-1559,12472304,,Several things stated in Pig philosophy page are out of date,gates,gates,Minor,Closed,Fixed,23/Aug/10 21:49,17/Dec/10 22:45,
Bug,,PIG-1558,12472298,,build.xml for site directory does not work,gates,gates,Minor,Closed,Fixed,23/Aug/10 21:05,17/Dec/10 22:45,
New Feature,,PIG-1555,12472181,,[piggybank] add CSV Loader,dvryaboy,dvryaboy,Minor,Closed,Fixed,22/Aug/10 08:34,17/Dec/10 22:45,
Bug,,PIG-1546,12471755,,Incorrect assert statements in operator evaluation,ajaykidave,ajaykidave,Minor,Closed,Fixed,16/Aug/10 22:29,17/Dec/10 22:45,
New Feature,,PIG-1530,12470575,, PIG Logical Optimization: Push LOFilter above LOCogroup,swati.j,swati.j,Minor,Closed,Duplicate,31/Jul/10 21:21,17/Dec/10 22:45,
Improvement,,PIG-1526,12470501,,HiveColumnarLoader Partitioning Support,gerritjvv,gerritjvv,Minor,Closed,Fixed,30/Jul/10 10:11,17/Dec/10 22:45,
Bug,,PIG-1521,12470284,,"explain plan does not show correct Physical operator in MR plan when POSortedDistinct, POPackageLite are used",thejas,thejas,Minor,Closed,Fixed,27/Jul/10 18:34,17/Dec/10 22:44,
Bug,,PIG-1517,12470178,,Pig needs to support keywords in the package name,aniket486,aniket486,Minor,Closed,Fixed,26/Jul/10 16:34,17/Dec/10 22:44,30/Sep/10 00:00
Sub-task,,PIG-1503,12469285,12459720,Label interfaces for audience and stability in org.apache.pig.backend package,gates,gates,Minor,Closed,Duplicate,14/Jul/10 20:28,17/Dec/10 22:44,
Bug,,PIG-1486,12468776,,update ant eclipse-files target to include new jar and remove contrib dirs from build path,thejas,thejas,Minor,Closed,Fixed,08/Jul/10 00:55,17/Dec/10 22:44,
Improvement,,PIG-1466,12467944,,Improve log messages for memory usage,thejas,ashutoshc,Minor,Closed,Fixed,25/Jun/10 20:38,17/Dec/10 22:44,
Bug,,PIG-1460,12467371,,UDF manual and javadocs should make clear how to use RequiredFieldList,chandec,gates,Minor,Closed,Fixed,18/Jun/10 19:43,17/Dec/10 22:44,
