Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,Patch Available,THRIFT-687,12446388,,cocoa: TSocketServer leaks a CFSocket object,kballard,kballard,Minor,Closed,Fixed,22/Jan/10 23:22,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-186,12407478,,Erlang Makefile not compatible with Solaris,tlipcon,tlipcon,Minor,Closed,Fixed,29/Oct/08 23:29,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-77,12400101,,Remove fprintf from C++ lib,shigin,shigin,Minor,Closed,Fixed,11/Jul/08 09:14,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-1269,12519177,,thrift: handle undeclared exceptions in the async,davejwatson@fb,davejwatson@fb,Minor,Closed,Fixed,17/Aug/11 19:44,01/Nov/11 02:54,
New Feature,,THRIFT-806,12467352,,NodeJS Bindings,wadey,digitala,Minor,Closed,Fixed,18/Jun/10 14:36,01/Nov/11 02:54,
Sub-task,Patch Available,THRIFT-411,12419604,12416160,Fix type on accessors to connectionStackLimit_,agiardullo,agiardullo,Minor,Closed,Fixed,27/Mar/09 02:35,01/Nov/11 02:54,
Bug,,THRIFT-1161,12506087,,C++ library does not get built on FreeBSD,,toomasaas,Minor,Closed,Fixed,03/May/11 19:01,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-43,12398555,,svn:ignore for build products that should never be checked in,cutting,bryanduxbury,Minor,Closed,Fixed,19/Jun/08 02:05,01/Nov/11 02:54,
New Feature,Patch Available,THRIFT-925,12475221,,Provide name<->value map for enums in C++,dreiss,dreiss,Minor,Closed,Fixed,27/Sep/10 17:41,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-217,12409382,,(Python) Thrift compiler should use --gen py,esteve,esteve,Minor,Closed,Fixed,27/Nov/08 09:48,01/Nov/11 02:54,
Bug,,THRIFT-32,12397493,,thrift.el doesn't syntax highlight single line comments correctly in xemacs,tlipcon,tlipcon,Minor,Closed,Fixed,04/Jun/08 17:46,01/Nov/11 02:54,
Improvement,,THRIFT-1014,12491809,,Thrift JavaScript code should use semicolon-terminated statements,roger,jfhamlin,Minor,Closed,Fixed,01/Dec/10 20:20,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-590,12436489,,send/recv timeout values interchanged in perl socket lib,jjschutz,jjschutz,Minor,Closed,Fixed,24/Sep/09 07:56,01/Nov/11 02:54,
Improvement,,THRIFT-1276,12519220,," Add thrift compiler option to suppress warnings about
",roger,davejwatson@fb,Minor,Closed,Fixed,18/Aug/11 00:50,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-658,12443802,,Support setTimeout for THttpClient,dreiss,dreiss,Minor,Closed,Fixed,18/Dec/09 19:59,01/Nov/11 02:54,
Improvement,,THRIFT-253,12411979,,Enhance FieldMetaData,pkozikow,marz,Minor,Closed,Fixed,08/Jan/09 22:24,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-722,12457861,,configure does not check for the presence of some utilities needed for build,mlum,jjl,Minor,Closed,Won't Fix,02/Mar/10 14:01,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-521,12427221,,Objective-C 2.0 properties,geechorama,mattstevens,Minor,Closed,Fixed,05/Jun/09 15:00,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-547,12431098,,Thrift deserializer hangs when deserializing empty string,bryanduxbury,dayo,Minor,Closed,Fixed,22/Jul/09 01:32,01/Nov/11 02:54,
New Feature,Patch Available,THRIFT-1261,12518661,,STDIO support for node-thrift,jshaw86,jshaw86,Minor,Closed,Fixed,12/Aug/11 01:09,01/Nov/11 02:54,
New Feature,Patch Available,THRIFT-48,12398829,,TServerSocket can work with unix socket,,shigin,Minor,Closed,Fixed,23/Jun/08 12:56,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-733,12459209,,Shouldn't use scripting extensions to get class name,geechorama,ahaney,Minor,Closed,Fixed,15/Mar/10 23:12,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-940,12475634,,'make check' fails if boost is not in the std include and link paths,clavoie,clavoie,Minor,Closed,Fixed,01/Oct/10 16:16,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-1024,12493527,,Add Python Twisted example to the Tutorial,roger,michaelnt,Minor,Closed,Fixed,17/Dec/10 15:53,01/Nov/11 02:54,
Bug,,THRIFT-868,12472513,,Referencing constant values doesn't work with with typedef types,dreiss,jdecew,Minor,Closed,Fixed,25/Aug/10 18:30,01/Nov/11 02:54,
Bug,,THRIFT-15,12396323,,Name of struct 'constants' clashes with class name used for constants,jstuyts,jstuyts,Minor,Closed,Fixed,19/May/08 15:35,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-584,12435831,,php compiler does not create package directory structure,,jclarke,Minor,Closed,Fixed,16/Sep/09 14:19,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-85,12400300,,"tutorial.thrift: Include example of ""optional"" declaration",,stuartsierra,Minor,Closed,Fixed,15/Jul/08 15:37,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-505,12425508,,Make configure give a summary of the enabled components,dreiss,dreiss,Minor,Closed,Fixed,14/May/09 19:47,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-212,12408962,,Accelerated Binary Protocol support for TFramedTransport,dreiss,dreiss,Minor,Closed,Fixed,21/Nov/08 00:57,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-223,12410001,,Validate method should check that enum types are assigned valid values,pkozikow,marz,Minor,Closed,Fixed,04/Dec/08 19:45,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-127,12403203,,Erlang assumes that field types are correct and de-synchronizes if they are not,dreiss,dreiss,Minor,Closed,Fixed,28/Aug/08 00:43,01/Nov/11 02:54,
New Feature,Patch Available,THRIFT-12,12396238,,TThreadPoolServer should log exceptions and events via log4j instead of to stdout,jstuyts,bryanduxbury,Minor,Closed,Fixed,17/May/08 01:06,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-583,12435737,,gen py:new_style produces old style Iface class,,jclarke,Minor,Closed,Fixed,15/Sep/09 18:04,01/Nov/11 02:54,
Sub-task,Patch Available,THRIFT-116,12402685,12402683,Isset fields for non-primitive types unnecessary,bryanduxbury,bryanduxbury,Minor,Closed,Fixed,20/Aug/08 02:17,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-34,12397848,,"Java libraries should be namespaced under org.apache.thrift, not com.facebook.thrift",bryanduxbury,bryanduxbury,Minor,Closed,Fixed,09/Jun/08 22:36,01/Nov/11 02:54,
Improvement,,THRIFT-376,12417087,,toString should print out enum name rather than enum value,,marz,Minor,Closed,Duplicate,17/Mar/09 20:29,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-1230,12512868,,C# Library -- THashSet is not marked as Serializable which makes all Thrift classes that uses it unserializable,katoda,katoda,Minor,Closed,Fixed,05/Jul/11 15:19,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-100,12401365,,"In java:beans generator, when calling setX, if null is passed, set isset accordingly",bryanduxbury,bryanduxbury,Minor,Closed,Fixed,30/Jul/08 22:27,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-65,12399118,,Enabling 64-bit integer constants,dreiss,dreiss,Minor,Closed,Fixed,26/Jun/08 21:23,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-109,12402303,,Python unit tests should use self.assert*,esteve,esteve,Minor,Closed,Fixed,13/Aug/08 13:45,01/Nov/11 02:54,
New Feature,Patch Available,THRIFT-173,12406625,,Thrift -> HTML generator patch,engberg,engberg,Minor,Closed,Fixed,16/Oct/08 18:46,01/Nov/11 02:54,
Bug,,THRIFT-1232,12512941,,JavaScript TException should be a constructor function,pascal.bach,pascal.bach,Minor,Closed,Fixed,06/Jul/11 07:31,01/Nov/11 02:54,
Bug,,THRIFT-26,12397041,,Out-of-source builds are impossible,dreiss,dreiss,Minor,Closed,Fixed,29/May/08 04:41,01/Nov/11 02:54,
Improvement,,THRIFT-931,12475244,,Use log4j for Java tests,tlipcon,tlipcon,Minor,Closed,Fixed,27/Sep/10 21:35,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-275,12412646,,Remove deprecated classes from Ruby library,bryanduxbury,bryanduxbury,Minor,Closed,Fixed,17/Jan/09 00:44,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-54,12398941,,test/cpp doesn't compile,shigin,shigin,Minor,Closed,Fixed,24/Jun/08 19:31,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-285,12413383,,Don't generate _result helper classes for async methods,esteve,esteve,Minor,Closed,Fixed,27/Jan/09 15:14,01/Nov/11 02:54,
New Feature,,THRIFT-22,12396842,,TUnixSocket,kclark,bryanduxbury,Minor,Closed,Fixed,27/May/08 05:04,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-645,12442879,,Java test client and server scripts don't work,dreiss,dreiss,Minor,Closed,Fixed,09/Dec/09 18:15,01/Nov/11 02:54,
Improvement,,THRIFT-136,12404010,,"Rename ""async void"" to ""noreturn void"" or just ""noreturn""",dreiss,dreiss,Minor,Closed,Fixed,09/Sep/08 18:11,01/Nov/11 02:54,
Improvement,,THRIFT-508,12425512,,"Services that define a method twice should raise an error (in Python compiler, at least)",jfarrell,terrycojones,Minor,Closed,Duplicate,14/May/09 20:09,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-686,12446386,,TMemoryBuffer missing from Cocoa library,kballard,kballard,Minor,Closed,Fixed,22/Jan/10 23:04,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-70,12399639,,Java install prefix should be configurable,tlipcon,tlipcon,Minor,Closed,Fixed,04/Jul/08 22:45,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-91,12400650,,Compile Issues (INT_MAX undefined),,dgoodwin,Minor,Closed,Fixed,21/Jul/08 11:53,01/Nov/11 02:54,
Improvement,,THRIFT-134,12403734,,Add simple daemon management to fb303 simple management script,,wyckoff,Minor,Closed,Won't Fix,05/Sep/08 02:35,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-92,12400679,,Hardcoded path to /usr/local/bin/thrift in reflection_limited.thrift,,dgoodwin,Minor,Closed,Fixed,21/Jul/08 18:36,01/Nov/11 02:54,
Improvement,,THRIFT-107,12402221,,Composite namespaces for C++ not allowed in .thrift file,,losipiuk,Minor,Closed,Invalid,12/Aug/08 15:45,01/Nov/11 02:54,
New Feature,Patch Available,THRIFT-191,12407750,,Add ability to get a field name from a field id,pkozikow,marz,Minor,Closed,Fixed,04/Nov/08 03:21,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-540,12430007,,Have set methods return reference to self,bryanduxbury,marz,Minor,Closed,Fixed,10/Jul/09 00:50,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-303,12413831,,Changes to __isset interface,bryanduxbury,bryanduxbury,Minor,Closed,Fixed,03/Feb/09 00:22,01/Nov/11 02:54,
Sub-task,,THRIFT-595,12437066,12422425,PartialDeserialization in Java,mohammad.shahangian,bryanduxbury,Minor,Closed,Fixed,01/Oct/09 20:51,01/Nov/11 02:54,
Bug,,THRIFT-378,12417103,,Java servers do not turn internal errors into thrift exceptions,jbellis,jbellis,Minor,Closed,Fixed,17/Mar/09 22:34,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-1136,12503790,,C++ SSL implementation cleanup,roger,roger,Minor,Closed,Fixed,08/Apr/11 22:11,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-717,12457458,,Global variables should not be used for configuration of PHP library,,nicktelford,Minor,Closed,Won't Fix,25/Feb/10 16:40,01/Nov/11 02:54,
Bug,,THRIFT-1139,12503973,,C++ compilation of classes generated for an enum,xavier.lepaul,xavier.lepaul,Minor,Closed,Fixed,11/Apr/11 20:02,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-552,12431712,,gem requires exactly rubygems 1.2.0,bryanduxbury,bryanduxbury,Minor,Closed,Fixed,29/Jul/09 16:51,01/Nov/11 02:54,
Improvement,,THRIFT-239,12411011,,Generate @Override annotations for all overrided methods,bryanduxbury,marz,Minor,Closed,Fixed,18/Dec/08 21:30,01/Nov/11 02:54,
Bug,,THRIFT-198,12408234,,condition is always true in t_html_generator::print_doc,,shigin,Minor,Closed,Duplicate,11/Nov/08 11:30,01/Nov/11 02:54,
Improvement,,THRIFT-114,12402682,,Isset structure when not using javabeans generator is completely useless,,bryanduxbury,Minor,Closed,Invalid,20/Aug/08 00:35,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-168,12406429,,Buffered transports leave data in write buffer on failed flush,erikfrey,erikfrey,Minor,Closed,Fixed,14/Oct/08 19:13,01/Nov/11 02:54,
Improvement,Patch Available,THRIFT-526,12428696,,Generated Ruby enums have no good way to get the names back out once you have a number.,thecoffman,thecoffman,Minor,Closed,Fixed,23/Jun/09 19:11,01/Nov/11 02:54,
Bug,Patch Available,THRIFT-170,12406431,,Buffered transports leave data in write buffer on failed flush,mcslee,erikfrey,Minor,Closed,Fixed,14/Oct/08 19:14,01/Nov/11 02:54,
