Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Brainstorming,,THRIFT-1871,12635030,,Better null-safe handling,,eirslett,Major,Open,,03/Mar/13 15:26,08/Apr/13 11:23,
Sub-task,,THRIFT-765,12462935,12641270,Improved string encoding and decoding performance,bryanduxbury,bryanduxbury,Major,Closed,Won't Fix,24/Apr/10 20:09,07/Apr/13 20:09,
Sub-task,,THRIFT-1035,12495088,12641270,Container types containing binary data are parameterized with ByteBuffer in the generated Java code,,herberts,Major,Closed,Won't Fix,09/Jan/11 23:26,07/Apr/13 20:08,
Sub-task,Patch Available,THRIFT-395,12419229,12641270,Python library + compiler does not support unicode strings,marz,jbellis,Major,Closed,Fixed,23/Mar/09 16:41,07/Apr/13 20:03,
Bug,,THRIFT-1916,12641036,,"Compiled ruby code generates warning if field with name ""fields"" is present",,bensymonds,Major,Open,,05/Apr/13 12:55,05/Apr/13 22:54,
Sub-task,,THRIFT-1163,12506431,12640568,How can i use multi service in one program?,jfarrell,ballbillow,Major,Closed,Not A Problem,06/May/11 17:19,03/Apr/13 19:45,
Bug,Patch Available,THRIFT-670,12444438,,Unions don't skip unrecognizable fields correctly,bryanduxbury,bryanduxbury,Major,Closed,Fixed,31/Dec/09 18:34,02/Apr/13 01:31,
Bug,Patch Available,THRIFT-1912,12640205,,CLONE - Unions don't skip unrecognizable fields correctly,bryanduxbury,h,Major,Closed,Invalid,02/Apr/13 01:21,02/Apr/13 01:21,
Bug,,THRIFT-1911,12640150,,IOError not being caught in socket.rb,,aselder,Major,Open,,01/Apr/13 19:08,02/Apr/13 01:21,
Bug,,THRIFT-1757,12616851,,Code generated is slightly different on OSX than linux,,vlovich,Major,Closed,Duplicate,19/Nov/12 22:33,22/Mar/13 19:58,
New Feature,Patch Available,THRIFT-1704,12609333,,Tornado support (Python),,cpiro,Major,Closed,Fixed,27/Sep/12 01:47,22/Mar/13 18:10,
Bug,Patch Available,THRIFT-1318,12520990,,Incorrect syntax for struct with enum property and default value when value is negative,jensg,slimunholyone,Major,Closed,Fixed,31/Aug/11 23:50,22/Mar/13 18:10,
Bug,,THRIFT-1127,12503073,,C# should not generate default constructor,,wtftc,Major,Open,,31/Mar/11 21:02,18/Mar/13 22:07,
Bug,,THRIFT-1887,12637078,,Thrift::ApplicationException::initialize has incorrect order of arguments,,likethesky,Major,Open,,14/Mar/13 19:10,14/Mar/13 19:10,
Bug,,THRIFT-1875,12635587,,BoostThreadFactory not compiling,,hcorg,Major,Closed,Invalid,06/Mar/13 15:37,06/Mar/13 16:22,
Bug,,THRIFT-1690,12606880,,Sockets and Pipe Handles truncated on Win64,roger,ben.craig,Major,Closed,Fixed,10/Sep/12 14:23,01/Mar/13 22:07,
Bug,,THRIFT-1394,12527646,,Treatment of optional fields is not consistent between C++ and Java,diwaker,diwaker,Major,Closed,Fixed,18/Oct/11 20:34,25/Feb/13 09:49,
Bug,,THRIFT-1026,12493767,,C# default value code generation problem,,wtftc,Major,Closed,Fixed,21/Dec/10 16:35,22/Feb/13 20:33,
