Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,MESOS-362,12634345,Inconsistent slave maps in the master.,bmahler,bmahler,Critical,Resolved,Fixed,27/Feb/13 02:52,05/Jun/13 21:34,
Bug,MESOS-209,12595034,A race bug in ProcessManager::spawn in libprocess.,,jieyu,Critical,Resolved,Fixed,18/Jun/12 23:55,22/May/13 01:13,
Improvement,MESOS-171,12547755,"Make CommandInfo 'uri' field be repeated, possibly making a URI embedded message to describe whether or not we should 'chmod +x' the resulting resource.",vinodkone,benjaminhindman,Critical,Resolved,Fixed,23/Mar/12 06:18,22/May/13 01:13,
Bug,MESOS-303,12614398,mesos slave crashes during framework termination,chrismattmann,enachb,Critical,Resolved,Fixed,01/Nov/12 17:04,21/May/13 23:41,
Bug,MESOS-365,12634526,Slave should reject tasks before registering with the master.,vinodkone,bmahler,Critical,Resolved,Fixed,28/Feb/13 00:12,15/May/13 23:35,
Improvement,MESOS-305,12615394,Inform the frameworks / slaves about a master failover,bmahler,vinodkone,Critical,Resolved,Fixed,08/Nov/12 22:46,08/May/13 18:20,
Bug,MESOS-367,12634532,Invalid StatusUpdateMessage from missing slave id.,vinodkone,bmahler,Critical,Resolved,Fixed,28/Feb/13 00:53,14/Mar/13 00:43,
Bug,MESOS-109,12535955,Master::failoverFramework should remove existing framework offers last,benjaminhindman,benjaminhindman,Critical,Resolved,Fixed,21/Dec/11 03:49,09/Feb/12 22:50,
Task,MESOS-10239,13481257,Installing Mesos on Oracle Linux 8.3,,Mar_zieh,Major,Open,,13/Sep/22 07:58,15/Sep/22 20:12,
Bug,MESOS-10199,13341418,Mesos doesn't set correct client request headers for HTTP requests,zorro,zorro,Major,Resolved,Fixed,18/Nov/20 19:19,08/Apr/22 06:50,
Bug,MESOS-10238,13437547,Error while compiling directory mesos/build using make,,Gregorius_CVG,Major,Resolved,Duplicate,04/Apr/22 07:25,05/Apr/22 22:07,
Bug,MESOS-10219,13375548,1.11.0 does not build on Windows,,acecile5555555,Major,Accepted,,28/Apr/21 08:47,25/Mar/22 17:56,
Bug,MESOS-10236,13428739,[/std:c++latest][MSVC] Mesos failed to build due to error C2440 with /std:c++latest on Windows using MSVC,,QuellaZhang,Major,Resolved,Duplicate,16/Feb/22 08:25,25/Mar/22 17:56,
Bug,MESOS-10237,13435488,Mesos-slave issue report ,,feixiachao,Major,Resolved,Fixed,24/Mar/22 06:29,25/Mar/22 17:54,
Task,MESOS-8597,13139727,Mesos Python Eggs Not available for Download,,agrajm,Major,Open,,20/Feb/18 18:04,07/Feb/22 00:35,
Bug,MESOS-10231,13403938,Mesos master crashes during framework teardown,,arch_dj,Major,Resolved,Abandoned,28/Sep/21 20:26,20/Jan/22 22:47,
Task,MESOS-10228,13396095,"My current problem is that after mesos-Agent added the option to support GPU, starting Docker through Marathon cannot succeed",,barrylee,Major,Resolved,Not A Bug,19/Aug/21 11:21,31/Oct/21 19:31,
Bug,MESOS-9657,13222002,Launching a command task twice can crash the agent,cf.natali,bennoe,Major,Resolved,Fixed,15/Mar/19 21:03,16/Oct/21 11:50,
Task,MESOS-10198,13340108,Mesos-master service is activating state,,kiranjshetty,Major,Resolved,Cannot Reproduce,12/Nov/20 03:15,05/Oct/21 19:11,
Task,MESOS-10081,13276562,The mesos-dns update is seriously delayed,,stevenlee87,Major,Resolved,Won't Fix,27/Dec/19 08:03,26/Sep/21 18:58,
Bug,MESOS-10204,13346050,Mesos failed to build due to error LNK2019 on Windows using MSVC,,934341445,Major,Resolved,Duplicate,15/Dec/20 08:34,26/Sep/21 18:52,
Bug,MESOS-10206,13347543,"Mesos failed to build due to error LNK2019: unresolved external symbol ""int __cdecl os::execvp(char const *,char * const * const)"" on windows with MSVC",,QuellaZhang,Major,Resolved,Duplicate,23/Dec/20 09:24,26/Sep/21 18:52,
Bug,MESOS-10212,13362270,[/std:c++latest][MSVC] Mesos failed to build due to error C2666 with /std:c++latest on Windows using MSVC,,QuellaZhang,Major,Resolved,Duplicate,04/Mar/21 10:22,26/Sep/21 18:51,
Task,MESOS-10227,13396089,"After mesos-agent starts, mesos-exeute fails to be executed using the GPU",,barrylee,Major,Open,,19/Aug/21 10:38,26/Sep/21 18:35,
Task,MESOS-10229,13397312,[backport] Backport fixes to allow compilation of 1.11 on Ubuntu 20.04,,renan,Major,Resolved,Fixed,25/Aug/21 17:28,26/Sep/21 18:33,
Bug,MESOS-10200,13341684,"cmake target ""install"" not available in 1.10.x branch",,prudhviraj202m,Major,Resolved,Abandoned,19/Nov/20 23:52,16/Aug/21 09:54,
Bug,MESOS-9950,13252277,memory cgroup gone before isolator cleaning up,,carlone,Major,Resolved,Fixed,22/Aug/19 05:36,02/Aug/21 17:57,
Bug,MESOS-10226,13392404,test suite hangs on ARM64,cf.natali,cf.natali,Major,Open,,28/Jul/21 19:42,02/Aug/21 17:48,
Documentation,MESOS-10225,13385938,mention that systemd agent unit should have Delegate=yes,apeters,cf.natali,Major,Resolved,Fixed,25/Jun/21 22:57,14/Jul/21 20:57,
Bug,MESOS-10223,13382123,Crashes on ARM64 due to bad interaction of libunwind with libgcc. ,cf.natali,mgrigorov,Major,Resolved,Fixed,04/Jun/21 10:38,01/Jul/21 08:09,
Bug,MESOS-9709,13226766,Docker executor can become stuck terminating,,greggomann,Major,Resolved,Fixed,08/Apr/19 18:54,30/Jun/21 19:25,
Bug,MESOS-10129,13305512,Build fails on Maven javadoc generation when using JDK11,,csaltos,Major,Resolved,Invalid,17/May/20 16:08,30/Jun/21 13:09,
Documentation,MESOS-10214,13366074,Mesos Installation on ubuntu 20.04 ,,AhmadAlamoush,Major,Resolved,Not A Bug,18/Mar/21 12:38,28/Jun/21 08:57,
Improvement,MESOS-10205,13346278,No mesos.dll file after compilation,,934341445,Major,Resolved,Not A Bug,16/Dec/20 07:29,28/Jun/21 08:54,
Bug,MESOS-10224,13385035,[test] CSIVersion/StorageLocalResourceProviderTest.OperationUpdate fails.,,surahman,Major,Resolved,Fixed,21/Jun/21 23:26,24/Jun/21 18:14,
Task,MESOS-10119,13299354,"failure to destroy container can cause the agent to ""leak"" a GPU",,cf.natali,Major,Resolved,Duplicate,18/Apr/20 09:54,24/Jun/21 18:05,
Bug,MESOS-10216,13367716,Replicated log key encoding overflows into negative values,cf.natali,ipronin,Major,Resolved,Fixed,25/Mar/21 21:38,18/Jun/21 06:05,
Improvement,MESOS-9713,13227083,Support specifying output file name for URI fetcher,,qianzhang,Major,Resolved,Fixed,10/Apr/19 02:22,17/Jun/21 19:30,
Bug,MESOS-10221,13381085,A large number of TASK_LOST causes the task to be unable to run,,934341445,Major,Resolved,Invalid,29/May/21 07:32,11/Jun/21 18:28,
Bug,MESOS-10190,13328074,"libprocess fails with ""Failed to obtain the IP address for <uuid>"" when using CNI on some hosts",,acecile5555555,Major,Resolved,Not A Bug,17/Sep/20 15:35,31/May/21 07:54,
Bug,MESOS-10196,13338779, The task program runs successfully but the task status is failed,,934341445,Major,Resolved,Not A Bug,04/Nov/20 07:05,29/May/21 10:27,
Improvement,MESOS-10101,13289986,Where can we find the mesos1.8 yum repo for centos8.1 operating system,,stevenlee87,Major,Open,,06/Mar/20 08:21,29/May/21 10:11,
Documentation,MESOS-10187,13326881,What are the network prerequisite for slave and master hosted in different LAN?,apeters,kopax,Major,Resolved,Not A Bug,10/Sep/20 13:59,21/May/21 10:29,
Bug,MESOS-10218,13369382,Mesos slave fails to connect after enabling ssl,apeters,prasadkulkarni0711,Major,Resolved,Not A Bug,03/Apr/21 02:52,20/May/21 10:05,
Improvement,MESOS-9776,13232340,Mention removal of *.json endpoints in 1.8.0 CHANGELOG,,bennoe,Major,Resolved,Won't Do,08/May/19 21:55,13/May/21 22:37,
Bug,MESOS-10088,13279954,task stuck in  TASK_STAGING following agent suspended and resumed,,Charle,Major,Resolved,Cannot Reproduce,16/Jan/20 18:21,14/Apr/21 17:33,
Bug,MESOS-10131,13306583,"Agent frequently dies with error ""Cycle found in mount table hierarchy""",abudnik,tomplummer,Major,Resolved,Cannot Reproduce,21/May/20 19:18,14/Apr/21 16:54,
Improvement,MESOS-1648,12730361,Add a --pidfile option to master and agent binaries.,,tweingartner,Major,Reviewable,,28/Jul/14 23:51,25/Mar/21 21:16,
Bug,MESOS-9080,13172513,Port mapping isolator leaks ephemeral ports when a container is destroyed during preparation,ipronin,ipronin,Major,Resolved,Fixed,16/Jul/18 23:11,25/Mar/21 21:15,
Epic,MESOS-6127,13002747,Implement support for HTTP/2.,,aaronjwood,Major,Open,,05/Sep/16 15:18,25/Mar/21 21:14,
Bug,MESOS-10203,13345714,Agent process crashes on newer linux kernels if 'linux/capabilities' isolation is enbaled,,arunmj,Major,Resolved,Fixed,13/Dec/20 06:24,26/Jan/21 03:55,
Improvement,MESOS-10208,13350522,Support multiple I/O threads in libprocess for libev.,bmahler,bmahler,Major,Resolved,Implemented,05/Jan/21 20:55,22/Jan/21 20:55,
Bug,MESOS-10209,13351619,Agent reregistration and marking race,ipronin,ipronin,Major,Resolved,Fixed,12/Jan/21 01:03,12/Jan/21 23:10,
Task,MESOS-8817,13154262,GSOC: Improve Mesos Web UI backend to use V1 Operator API,,ArmandGrillet,Major,Open,,21/Apr/18 20:50,04/Jan/21 05:39,
Improvement,MESOS-10207,13348450,Unable to read the resources of the network shared disk in windows,,934341445,Major,Resolved,Fixed,30/Dec/20 10:02,31/Dec/20 09:45,
Bug,MESOS-10182,13325009,Mesos failed to build due to error C1083: Cannot open include file: 'csi/state.pb.h': No such file or directory on windows with MSVC,,QuellaZhang,Major,Open,,28/Aug/20 09:55,23/Dec/20 10:02,
Bug,MESOS-10137,13308291,Mesos failed to build due to error C2668 on windows with MSVC,bmahler,spacelg,Major,Resolved,Fixed,29/May/20 09:43,15/Dec/20 03:54,
Epic,MESOS-9753,13231107,Agent Draining,greggomann,greggomann,Major,Resolved,Done,01/May/19 17:22,10/Dec/20 19:49,
Improvement,MESOS-10202,13343689,Protobuf Mesage Incompatibility Detector,,jwjwyoung,Major,Open,,02/Dec/20 05:16,02/Dec/20 05:22,
Bug,MESOS-10201,13342215,Leaving libprocess running after main() exit may make a program crash when global mutexes in glog are destroyed.,,asekretenko,Major,Open,,23/Nov/20 20:52,24/Nov/20 13:24,
Epic,MESOS-8823,13154630,process::finalize is broken.,,bmahler,Major,Accepted,,23/Apr/18 21:58,24/Nov/20 13:24,
Bug,MESOS-8729,13147577,Libprocess: deadlock in process::finalize,abudnik,abudnik,Major,Accepted,,23/Mar/18 20:02,23/Nov/20 20:55,
Bug,MESOS-9743,13230039,Argument forwaring in CMake build result in glog 0.4.0 build as shared library,,nfnt,Major,Open,,25/Apr/19 07:54,21/Nov/20 01:27,
Bug,MESOS-6608,13021842,Do not transition tasks to TASK_KILLED on framework teardown,,neilc,Major,Open,,18/Nov/16 20:30,13/Nov/20 15:03,
Bug,MESOS-10197,13338825,One of processes gets incorrect status after stopping and starting mesos-master and mesos-agent simultaneously,,sergei.hanus,Major,Open,,04/Nov/20 12:50,11/Nov/20 06:27,
Bug,MESOS-9322,13191799,"Executor exited accidentally, but mesos-agent did not report TASK_FAILED event.",,guoshiwei,Major,Open,,16/Oct/18 06:25,11/Nov/20 06:26,
Epic,MESOS-898,12687730,Introduce CMake as an alternative build system.,kaysoky,tstclair,Major,Resolved,Fixed,07/Jan/14 20:52,06/Nov/20 13:48,
Task,MESOS-10177,13323111,Add an endpoint for offer constraints debug,asekretenko,asekretenko,Major,Resolved,Done,17/Aug/20 20:53,06/Nov/20 13:48,
Documentation,MESOS-10193,13334046,Add documentation for offer constraints.,asekretenko,asekretenko,Major,Resolved,Fixed,06/Oct/20 18:46,06/Nov/20 13:48,
Epic,MESOS-10161,13318708,Constraints-based offer filtering,asekretenko,asekretenko,Major,Resolved,Fixed,22/Jul/20 12:54,05/Nov/20 12:48,
Epic,MESOS-10195,13338661,Constraints-based offer filtering improvements,,asekretenko,Major,Open,,03/Nov/20 14:31,03/Nov/20 14:35,
Improvement,MESOS-10181,13324996,Cache RE2s used in offer constraints,,asekretenko,Major,Open,,28/Aug/20 08:40,03/Nov/20 14:35,
Task,MESOS-10180,13324465,Extended testing of offer constraints,,asekretenko,Major,Open,,25/Aug/20 12:36,03/Nov/20 14:34,
Task,MESOS-10178,13323421,Add benchmark(s) for allocator in presence of offer constraints.,,asekretenko,Major,Open,,18/Aug/20 19:10,03/Nov/20 14:34,
Task,MESOS-10176,13323109,Add validation of roles in the offer constraints,asekretenko,asekretenko,Major,Resolved,Fixed,17/Aug/20 20:50,03/Nov/20 14:34,
Task,MESOS-10142,13312043,CSI External Volumes MVP Design Doc,qianzhang,greggomann,Major,Resolved,Fixed,17/Jun/20 19:47,03/Nov/20 14:17,
Task,MESOS-10154,13315344,Implement the `cleanup` method of the `volume/csi` isolator,qianzhang,qianzhang,Major,Resolved,Fixed,07/Jul/20 08:13,03/Nov/20 14:17,
Task,MESOS-10163,13318870,Implement a new component to launch CSI plugins as standalone containers and make CSI gRPC calls,greggomann,qianzhang,Major,Resolved,Done,23/Jul/20 08:07,03/Nov/20 14:17,
Task,MESOS-10155,13315345,Implement the `recover` method of the `volume/csi` isolator,qianzhang,qianzhang,Major,Resolved,Fixed,07/Jul/20 08:13,03/Nov/20 14:17,
Task,MESOS-10151,13315340,Introduce a new agent flag `--csi_plugin_config_dir`,qianzhang,qianzhang,Major,Resolved,Fixed,07/Jul/20 08:09,03/Nov/20 14:17,
Task,MESOS-10156,13315346,Enable the `volume/csi` isolator in UCR,qianzhang,qianzhang,Major,Resolved,Fixed,07/Jul/20 08:14,03/Nov/20 14:17,
Task,MESOS-10152,13315342,Implement the `create` method of the `volume/csi` isolator,qianzhang,qianzhang,Major,Resolved,Fixed,07/Jul/20 08:12,03/Nov/20 14:17,
Task,MESOS-10147,13315288,Introduce a new volume type `CSI` into the `Volume` protobuf message,qianzhang,qianzhang,Major,Resolved,Fixed,07/Jul/20 02:55,03/Nov/20 14:17,
Task,MESOS-10168,13319847,Add secrets support to the CSI volume managers,greggomann,greggomann,Major,Resolved,Fixed,28/Jul/20 21:22,03/Nov/20 14:17,
Task,MESOS-10153,13315343,Implement the `prepare` method of the `volume/csi` isolator,qianzhang,qianzhang,Major,Resolved,Fixed,07/Jul/20 08:12,03/Nov/20 14:17,
Task,MESOS-10175,13322229,Improve CSI service manager to set node ID for managed CSI plugins,qianzhang,qianzhang,Major,Resolved,Fixed,12/Aug/20 09:24,03/Nov/20 14:17,
Task,MESOS-10148,13315291,Update the `CSIPluginInfo` protobuf message for supporting 3rd party CSI plugins,qianzhang,qianzhang,Major,Resolved,Fixed,07/Jul/20 03:00,03/Nov/20 14:17,
Task,MESOS-10157,13315347,Add documentation for the `volume/csi` isolator,qianzhang,qianzhang,Major,Resolved,Fixed,07/Jul/20 08:17,03/Nov/20 14:17,
Task,MESOS-10150,13315331,Refactor CSI volume manager to support pre-provisioned CSI volumes,greggomann,qianzhang,Major,Resolved,Fixed,07/Jul/20 07:45,03/Nov/20 14:17,
Task,MESOS-10149,13315330,Improve CSI service manager to support unmanaged CSI plugins,qianzhang,qianzhang,Major,Resolved,Fixed,07/Jul/20 07:41,03/Nov/20 14:17,
Task,MESOS-10162,13318709,Constraints-based offer filtering design doc,asekretenko,asekretenko,Major,Resolved,Done,22/Jul/20 12:57,03/Nov/20 14:15,
Bug,MESOS-10192,13330933,Recent Nvidia CUDA changes break Mesos GPU support,qianzhang,greggomann,Major,Resolved,Fixed,04/Oct/20 03:49,03/Nov/20 14:14,
Epic,MESOS-10141,13312042,CSI External Volume Support,qianzhang,greggomann,Major,Resolved,Fixed,17/Jun/20 19:45,03/Nov/20 14:14,
Bug,MESOS-7485,13070599,Add verbose logging for curl commands used in fetcher/puller,abudnik,zhitao,Major,Resolved,Fixed,09/May/17 21:07,03/Nov/20 14:13,
Bug,MESOS-10188,13327379,Master check failure : scalars does not contain agent,,Jerome Soussens,Major,Accepted,,14/Sep/20 08:11,28/Oct/20 20:53,
Task,MESOS-10191,13330236,Finish 1.10.0 release process.,,bmahler,Major,Accepted,,30/Sep/20 18:40,30/Sep/20 18:40,
Bug,MESOS-10164,13319224,mesos-dns only showing the 2nd network,,f1outsourcing,Major,Resolved,Invalid,24/Jul/20 20:43,24/Sep/20 18:56,
Bug,MESOS-10183,13325808,mesos-master logs incorrectly to error level,,f1outsourcing,Major,Resolved,Invalid,02/Sep/20 20:17,24/Sep/20 18:54,
Task,MESOS-10179,13323690,Expose framework's OfferConstraints via master API endpoints,asekretenko,asekretenko,Major,Resolved,Done,20/Aug/20 07:25,11/Sep/20 18:16,
Bug,MESOS-10169,13320432,Reintroduce image fetch deduplication while keeping it possible to destroy UCR containers in PROVISIONING state.,asekretenko,asekretenko,Major,Resolved,Fixed,31/Jul/20 15:46,10/Sep/20 19:28,
Improvement,MESOS-10185,13326312,Release Mesos binaries for ARM64,,odidev,Major,Open,,07/Sep/20 13:58,09/Sep/20 05:30,
Task,MESOS-10166,13319755,Avoid sending framework updates to agents and subscribers when frameworkInfo/pid didn't change.,asekretenko,asekretenko,Major,Resolved,Done,28/Jul/20 13:38,03/Sep/20 16:11,
Task,MESOS-10173,13320464,Add offer constraints on (pseudo)attribute (not) matching RE2 regex,asekretenko,asekretenko,Major,Resolved,Resolved,31/Jul/20 19:11,28/Aug/20 12:55,
Task,MESOS-10170,13320460,Bundle RE2 into Mesos,asekretenko,asekretenko,Major,Resolved,Done,31/Jul/20 18:48,28/Aug/20 12:52,
Task,MESOS-10172,13320463,Add offer constraints on (pseudo)attribute value equality,asekretenko,asekretenko,Major,Resolved,Done,31/Jul/20 19:06,25/Aug/20 14:39,
Task,MESOS-10171,13320461,Groundwork for constraints-based filtering using `Exists/NotExists` attribute constraint as an example.,asekretenko,asekretenko,Major,Resolved,Resolved,31/Jul/20 19:03,25/Aug/20 12:33,
Bug,MESOS-7187,13046787,Master can neglect to update agent metadata in a re-registration corner case.,,bmahler,Major,Open,,27/Feb/17 22:42,12/Aug/20 21:18,
Bug,MESOS-10165,13319491,"Mesos failed to build due to error C2668: 'os::spawn': ambiguous call to overloaded function, with MSVC on windows",,spacelg,Major,Resolved,Duplicate,27/Jul/20 07:20,27/Jul/20 07:33,
Improvement,MESOS-10160,13318293,Split source files that require the largest amounts of memory for compilation.,,asekretenko,Major,Open,,20/Jul/20 16:37,20/Jul/20 16:38,
Bug,MESOS-10085,13277743,Operator API events are silently dropped on transient authorization failures.,dzhu,asekretenko,Major,Accepted,,06/Jan/20 17:17,17/Jul/20 18:24,
Bug,MESOS-10140,13310578,CMake Error: Problem with archive_read_open_file(): Unrecognized archive format,,QuellaZhang,Major,Resolved,Resolved,10/Jun/20 07:23,17/Jul/20 06:59,
Improvement,MESOS-7785,13086628,Pass Operator API subscription events through authorizer ,quinn.leng.666@gmail.com,Mat.appelman,Major,Resolved,Done,12/Jul/17 16:19,09/Jul/20 10:15,
Bug,MESOS-10158,13315454,Mesos Agent gets stuck in Draining due to pending unacknowledged status updates,,abudnik,Major,Open,,07/Jul/20 17:27,07/Jul/20 17:27,
Epic,MESOS-10145,13314480,Drop autotools build (or leave it as a thin wrapper around CMake).,,asekretenko,Major,Open,,01/Jul/20 13:37,02/Jul/20 17:34,
Bug,MESOS-7206,13048198,Add support for system installations of libevent instead of the downloaded tarball.,,kaysoky,Major,Resolved,Duplicate,03/Mar/17 21:57,02/Jul/20 17:34,
Epic,MESOS-9636,13220156,Autotools improvements,,alexr,Major,Open,,07/Mar/19 11:01,02/Jul/20 17:17,
Bug,MESOS-8590,13139018,Configure should reject too new python versions,,bbannier,Major,Open,,16/Feb/18 11:41,02/Jul/20 17:13,
Bug,MESOS-8370,13128095,`liburi_volume_profile.la` cannot be built standalone.,,chhsia0,Major,Open,,02/Jan/18 22:47,02/Jul/20 17:06,
Epic,MESOS-7866,13093046,CMake build system improvements,kaysoky,kaysoky,Major,Open,,08/Aug/17 00:14,02/Jul/20 17:01,
Improvement,MESOS-8689,13146353,Add -Werror semantics to the CMake build,,andschwa,Major,Open,,19/Mar/18 19:48,02/Jul/20 17:01,
Bug,MESOS-9329,13192233,CMake build on Fedora 28 fails due to libevent error,,bennoe,Major,Open,,17/Oct/18 13:21,02/Jul/20 16:59,
Task,MESOS-3105,12846411,Port flag generation logic from the autotools solution to CMake,kaysoky,andschwa,Major,Accepted,,21/Jul/15 00:39,02/Jul/20 16:56,
Improvement,MESOS-8929,13159954,CMake build does not provide mesos.pc,,bbannier,Major,Open,,17/May/18 07:51,01/Jul/20 13:54,
Bug,MESOS-8996,13166206,Deploy scripts in src/deploy are not part of the cmake build,,bbannier,Major,Open,,14/Jun/18 21:08,01/Jul/20 13:53,
Bug,MESOS-9005,13166660,find_package_helper makes using packages REQUIRED,,bbannier,Major,Open,,18/Jun/18 09:03,01/Jul/20 13:53,
Improvement,MESOS-8118,13111039,Add Python binding generation support to CMake,,andschwa,Major,Accepted,,20/Oct/17 17:06,01/Jul/20 13:45,
