Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,MESOS-25,12512259,"The slaves table in the master's index web ui page always links to the slave web ui at port 8081, regardless of which port the slave's webui is actually on",srs747,mwee,Minor,Resolved,Fixed,29/Jun/11 22:01,02/May/13 02:29,
Improvement,MESOS-430,12641735,send better messages on executor failures,,jonboulle,Minor,Open,,09/Apr/13 22:14,22/Apr/13 19:12,
Bug,MESOS-271,12606895,Get mesos compiling on gcc-4.7 to open up path forward to c++11,jsirois,jsirois,Minor,Resolved,Fixed,10/Sep/12 15:48,10/Apr/13 19:21,
Bug,MESOS-215,12595512,"In slave, a framework won't be shutdown if no executor in it.",vinodkone,jieyu,Minor,Resolved,Fixed,22/Jun/12 01:08,25/Mar/13 03:24,
Improvement,MESOS-342,12629831,SlaveID should be passed through executor API,vinodkone,woggle,Minor,Resolved,Fixed,30/Jan/13 03:51,14/Mar/13 00:41,
Bug,MESOS-347,12632119,CgroupsNoHierarchyTest.ROOT_CGROUPS_MountUnmountHierarchy test failure,vinodkone,meonkeys,Minor,Resolved,Fixed,13/Feb/13 00:39,14/Mar/13 00:41,
Improvement,MESOS-273,12606957,Add a Bytes abstraction akin to Duration,bmahler,bmahler,Minor,Resolved,Fixed,10/Sep/12 22:40,12/Mar/13 22:31,
Bug,MESOS-139,12540163,The hadoop patch is missing a catch block for patching the latest CDH,,rathboma,Minor,Resolved,Won't Fix,27/Jan/12 17:59,07/Feb/13 23:26,
Improvement,MESOS-189,12553752,IP addresses in var/mesos/deploy/masters and var/mesos/deploy/slaves should behave the same as the --ip option,,esohpromatem,Minor,Open,,03/May/12 13:00,10/Dec/12 08:33,
Bug,MESOS-175,12548786,Unused portions of offers are not immediately offered to another framework,woggle,woggle,Minor,Resolved,Invalid,30/Mar/12 06:06,20/Sep/12 16:41,
Bug,MESOS-87,12531652,Java framework test doesn't use JAVA_HOME,woggle,woggle,Minor,Resolved,Fixed,16/Nov/11 17:44,24/Mar/12 21:16,
Improvement,MESOS-154,12542457,"Support building without webui, java",woggle,woggle,Minor,Resolved,Fixed,13/Feb/12 23:24,20/Mar/12 18:12,
Bug,MESOS-132,12539581,"src/examples/java/test-executor, etc. assume non-POSIX sh",,woggle,Minor,Resolved,Fixed,24/Jan/12 07:31,13/Feb/12 23:22,
Bug,MESOS-22,12511605,Update deploy scripts to pass new --resources parameter correctly,matei,matei,Minor,Resolved,Fixed,27/Jun/11 06:43,27/Jun/11 23:24,
Bug,MESOS-10213,13364668,configure for Python 3 ,apeters,LutzWeischerFujitsu,Trivial,Resolved,Works for Me,12/Mar/21 14:54,20/May/21 10:19,
Bug,MESOS-9971,13257322,"'dist' and 'distcheck' cmake targets are implemented as shell scripts, so fail on Windows/MSVC.",kaysoky,spacelg,Trivial,Resolved,Fixed,18/Sep/19 08:46,26/Sep/19 15:03,
Improvement,MESOS-182,12550187,Patch for CDH3u3 for mesos 0.9.0,benjaminhindman,hiral,Trivial,Resolved,Fixed,09/Apr/12 05:12,29/Apr/19 09:27,
Bug,MESOS-4510,12934096,make check breaks because of code syntax error in utils.cpp (in downloaded git version at 26-01-2016),,ruvi,Trivial,Resolved,Duplicate,26/Jan/16 12:23,29/Apr/19 09:27,
Bug,MESOS-7520,13072943,Mesos fails to compile with GCC 7.1,aaron.wood,aaron.wood,Trivial,In Progress,,17/May/17 21:51,29/Apr/19 09:27,
Improvement,MESOS-7957,13101125,The REGISTER_FRAMEWORK_WITH_ROLE does not use in source code,,jackyoh,Trivial,Open,,11/Sep/17 02:05,29/Apr/19 09:27,
Bug,MESOS-1881,12746894,Reviewbot should not apply reviews that are submitted.,cmaloney,bmahler,Trivial,Resolved,Fixed,09/Oct/14 01:41,29/Apr/19 09:27,
Improvement,MESOS-2666,12824334,use standard compiler detection macros,jamespeach,jamespeach,Trivial,Resolved,Fixed,27/Apr/15 16:37,29/Apr/19 09:27,
